sentence,tactic,labels
NotPetya searches for files ending with dozens of different file extensions prior to encryption.,Discovery,T1083
ObliqueRAT has the ability to recursively enumerate files on an infected endpoint.,Discovery,T1083
OceanSalt can extract drive information from the endpoint and search files on the system.,Discovery,T1083
Octopus can collect information on the Windows directory and searches for compressed RAR files on the host.,Discovery,T1083
Okrum has used DriveLetterView to enumerate drive information.,Discovery,T1083
Operation Wocao has gathered a recursive directory listing to find files and directories of interest.,Discovery,T1083
Orz can gather victim drive information.,Discovery,T1083
"OutSteel can search for specific file extensions, including zipped files.",Discovery,T1083
POORAIM can conduct file browsing.,Discovery,T1083
POWRUNER may enumerate user directories on a victim.,Discovery,T1083
Pasam creates a backdoor through which remote attackers can retrieve lists of files.,Discovery,T1083
"Penquin can use the command code ""do_vslist"" to send file names, size, and status to C2.",Discovery,T1083
Peppy can identify specific files for exfiltration.,Discovery,T1083
PingPull can enumerate storage volumes and folder contents of a compromised host.,Discovery,T1083
Pisloader has commands to list drives on the victim machine and to list file information for a given directory.,Discovery,T1083
PlugX has a module to enumerate drives and find files recursively.,Discovery,T1083
"PoetRAT has the ability to list files upon receiving the ""ls"" command from C2.",Discovery,T1083
"PowerDuke has commands to get the current directory name as well as the size of a file. It also has commands to obtain information about logical drives, drive type, and free space.",Discovery,T1083
Psylo has commands to enumerate all storage devices and to find all files that start with a particular string.,Discovery,T1083
Pteranodon identifies files matching certain file extension and copies them to subdirectories it created.,Discovery,T1083
Pupy can walk through directories and recursively search for strings in files.,Discovery,T1083
QakBot can identify whether it has been run previously on a host by checking for a specified folder.,Discovery,T1083
"QuietSieve can search files on the target host by extension, including doc, docx, xls, rtf, odt, txt, jpg, pdf, rar, zip, and 7z.",Discovery,T1083
RARSTONE obtains installer properties from Uninstall Registry Key entries to obtain information about installed applications and how to uninstall certain applications.,Discovery,T1083
REvil has the ability to identify specific files and directories that are not to be encrypted.,Discovery,T1083
ROKRAT has the ability to gather a list of files and directories on the infected system.,Discovery,T1083
RainyDay can use a file exfiltration tool to collect recently changed files with specific extensions.,Discovery,T1083
Ramsay can collect directory and file lists.,Discovery,T1083
"Rclone can list files and directories with the `ls`, `lsd`, and `lsl` commands.",Discovery,T1083
Remexi searches for files on the system.,Discovery,T1083
RemoteUtilities can enumerate files and directories on a target machine.,Discovery,T1083
Remsec is capable of listing contents of folders on the victim. Remsec also searches for custom network encryption software on victims.,Discovery,T1083
"Rising Sun can enumerate information about files from the infected system, including file size, attributes, creation time, last access time, and write time. Rising Sun can enumerate the compilation timestamp of Windows executable files.",Discovery,T1083
Rover automatically searches for files on local drives based on a predefined list of file extensions.,Discovery,T1083
SDBbot has the ability to get directory listings or drive information on a compromised host.,Discovery,T1083
SHOTPUT has a command to obtain a directory listing.,Discovery,T1083
"SILENTTRINITY has several modules, such as `ls.py`, `pwd.py`, and `recentFiles.py`, to enumerate directories and files.",Discovery,T1083
SLOTHFULMEDIA can enumerate files and directories.,Discovery,T1083
SPACESHIP identifies files and directories for collection by searching for specific file extensions or file modification time.,Discovery,T1083
"SUGARDUMP can search for and collect data from specific Chrome, Opera, Microsoft Edge, and Firefox files, including any folders that have the string `Profile` in its name.",Discovery,T1083
SUNSPOT enumerated the Orion software Visual Studio solution directory path.,Discovery,T1083
Sandworm Team has enumerated files on a compromised host.,Discovery,T1083
Seasalt has the capability to identify the drive type on a victim.,Discovery,T1083
"Several Lazarus Group has conducted word searches on compromised machines to identify specific documents of interest. Lazarus Group malware can use a common function to identify target files by their extension, and some also enumerate files and directories, including a Destover-like variant that lists files and gathers information for all drives.",Discovery,T1083
"Shamoon attempts to access the ""ADMIN$"", ""C$\Windows"", ""D$\Windows"", and ""E$\Windows"" shares on the victim with its current privileges.",Discovery,T1083
ShimRat can list directories.,Discovery,T1083
Sidewinder has used malware to collect information on files and directories.,Discovery,T1083
Siloscape searches for the Kubernetes config file and other related files using a regular expression.,Discovery,T1083
"Skidmap has checked for the existence of specific files including ""/usr/sbin/setenforce"" and "" /etc/selinux/config"". It also has the ability to monitor the cryptocurrency miner file and process.",Discovery,T1083
